country	year	gini_index
DE	2016	0.4451102318346768
DE	2015	0.4485080721585333
DE	2014	0.44634479079108136
DE	2013	0.4497284070428108
DE	2012	0.44238061192108313
DE	2011	0.4447660732307862
DE	2010	0.44364717755508265
DE	2009	0.4399293401451291
DE	2008	0.45107700045685717
DE	2007	0.44636104940643406
DE	2006	0.43243531660585566
DE	2005	0.4301586054837351
DE	2004	0.40467531574081916
DE	2003	0.3946252933467208
DE	2002	0.4001175668993613
DE	2001	0.3946931778879379
DE	2000	0.3948035614594798
DE	1999	0.3899844372897957
DE	1998	0.38763931973317933
DE	1997	0.3818427959132399
DE	1996	0.37450271098712695
DE	1995	0.36447394377463915
DE	1994	0.364003920784571
DE	1993	0.3681182161175671
DE	1992	0.3742587471384681
DE	1991	0.37908048524836013
DE	1990	0.3807596285862823
DE	1989	0.3831507321800788
DE	1988	0.3732240167933749
DE	1987	0.36424858272355787
DE	1986	0.35361653225856404
DE	1985	0.351529940929738
DE	1984	0.34962792678976495
DE	1983	0.3499677016058954
DE	1982	0.35106721538882013
DE	1981	0.3520689054933561
DE	1980	0.35194179668968384
EG	2015	0.5374125622477279
EG	2012	0.5166096153202612
EG	2010	0.5182168452991871
EG	2008	0.541627680321226
EG	2004	0.5465334040416789
EG	1999	0.561085014644
FR	2014	0.4592652157275523
FR	2013	0.45967002443794647
FR	2012	0.4613508141575594
FR	2011	0.4697947408620653
FR	2010	0.472141259539118
FR	2009	0.4672300858888925
FR	2008	0.47627166273805566
FR	2007	0.4781272216821453
FR	2006	0.4754829167299376
FR	2005	0.4741163905253474
FR	2004	0.476805164124776
FR	2003	0.47732855177170785
FR	2002	0.47335693734123185
FR	2001	0.48287636261299993
FR	2000	0.48719180425202513
FR	1999	0.4860968026154655
FR	1998	0.4855038431192078
FR	1997	0.4830287200752177
FR	1996	0.483957128937759
FR	1995	0.4801105145870277
FR	1994	0.480821714794079
FR	1993	0.4819357603578285
FR	1992	0.4810696636558299
FR	1991	0.48758098159906627
FR	1990	0.48864130240538384
FR	1989	0.4899017189302943
FR	1988	0.48564113196910164
FR	1987	0.49583939877272376
FR	1986	0.5030934344408582
FR	1985	0.5103512206743566
FR	1984	0.5208655914720917
FR	1983	0.5210770868246519
FR	1982	0.5216448812733567
FR	1981	0.5224346375689572
FR	1980	0.5243693164288961
FR	1979	0.5231343810164208
FR	1978	0.5258195990252121
FR	1977	0.5315538931037647
FR	1976	0.5351520905095855
FR	1975	0.5398573425957931
FR	1974	0.5523649423531772
FR	1973	0.5575300228333422
FR	1972	0.5624778995872566
FR	1971	0.5678786741014433
FR	1970	0.5752841209091284
IN	2013	0.6026393232060059
IN	2012	0.6025349069946739
IN	2011	0.596055915542745
IN	2010	0.578575529473063
IN	2009	0.5673078754005929
IN	2008	0.5562186057177392
IN	2007	0.54532651265977
IN	2006	0.534648315411084
IN	2005	0.5241982416886082
IN	2004	0.5139540651170819
IN	2003	0.503844731413969
IN	2002	0.49387805654667494
IN	2001	0.48406097696294215
IN	2000	0.4743997740642667
IN	1999	0.47150433736944797
IN	1998	0.46969352742913917
IN	1997	0.4657934477087249
IN	1996	0.459649040379703
IN	1995	0.464754629981481
IN	1994	0.46300530990113176
IN	1993	0.4514454119850261
IN	1992	0.4374614821855527
IN	1991	0.43040984199752585
IN	1990	0.42621072051517983
IN	1989	0.44174791660714063
IN	1988	0.441808375083071
IN	1987	0.434350820257972
IN	1986	0.43927709542163795
IN	1985	0.4369047210596093
IN	1984	0.42499602985045737
IN	1983	0.44047429931623494
IN	1982	0.3965478734371728
IN	1981	0.40090294567349427
IN	1980	0.4063608203186141
IN	1979	0.4114902586747482
IN	1978	0.4223589230247249
IN	1977	0.425692725837727
IN	1976	0.42697176787972313
IN	1975	0.424708922270464
IN	1974	0.42294044410031195
IN	1973	0.4219711410268431
IN	1972	0.42249565737561223
IN	1971	0.42499174650963056
IN	1970	0.44281090949175006
IN	1969	0.44140606288761775
IN	1968	0.431082948799841
IN	1967	0.43852885542151565
IN	1966	0.437756502178546
IN	1965	0.43488238961494796
IN	1964	0.433499561332758
IN	1963	0.4350455839969426
IN	1962	0.4496311840171259
IN	1961	0.4562352511410669
IN	1960	0.4526552916194563
IN	1959	0.46403069460385904
IN	1958	0.47492283168969407
IN	1957	0.4690778497477316
IN	1956	0.4827981830307162
IN	1955	0.48867586642368277
IN	1954	0.46757774668714114
IN	1953	0.4525891507989569
IN	1952	0.45769514439914594
IN	1951	0.4610648581717026
IQ	2007	0.5913397882
IR	2013	0.5526711092025443
IR	2010	0.590129446248
JO	2013	0.5444774121430119
JO	2010	0.569654113831248
JO	2008	0.5357483121046207
JO	2006	0.5416665018720049
JO	2002	0.5266386657933331
JO	1992	0.5803115833520001
KR	2016	0.3443734708756001
KR	2015	0.34244706651799994
KR	2014	0.3377828214802
KR	2013	0.336209137391
KR	2012	0.33825735838119997
KR	2011	0.3424777179569001
KR	2010	0.34120680149899985
KR	2009	0.3351563811005801
KR	2008	0.33923573702628007
KR	2007	0.33395260996472
KR	2006	0.32829320697919984
KR	2005	0.28015528899172004
KR	2004	0.2942468576082802
KR	2003	0.2917081890069001
KR	2002	0.28513912148995013
KR	2001	0.27490785699361986
KR	2000	0.26585539950581005
KR	1999	0.2569965175902801
KR	1998	0.2430814570003299
KR	1997	0.26267967200669984
KR	1996	0.2559706403851999
KR	1995	0.22467915099923996
KR	1985	0.1989780304646399
KR	1984	0.20558459099862014
KR	1983	0.2091921586810399
KR	1982	0.20569712855148992
KR	1981	0.19950966000862014
KR	1980	0.19886380229481004
KR	1979	0.18726470783410998
KR	1978	0.19430018198605992
KR	1977	0.16553741263664012
KR	1976	0.16225869997903997
KW	2013	0.623407777357011
KW	2007	0.621797922806
LB	2014	0.6621773447253241
LB	2013	0.6649676953326091
LB	2012	0.6665058128868651
LB	2011	0.664138920607884
LB	2010	0.6615769499400019
LB	2009	0.658232027753577
LB	2008	0.6626297675081458
LB	2007	0.6591754451788299
LB	2006	0.6114175461190712
LB	2005	0.6147981652519999
MY	2014	0.48865573478467006
MY	2012	0.5199125390590971
MY	2009	0.5444641847728302
MY	2007	0.5591575147374013
MY	2004	0.5481383765584591
MY	2002	0.5459482393690119
OM	2010	0.6545370686759999
PL	2015	0.4114709071471552
PL	2014	0.41536875656146555
PL	2013	0.41493309952994817
PL	2012	0.41582976393286075
PL	2011	0.4170621653594604
PL	2010	0.4139321490748271
PL	2009	0.4179342113130078
PL	2008	0.42633954309258115
PL	2007	0.4288219665409094
PL	2006	0.4277266450050172
PL	2005	0.42901316751004315
PL	2004	0.40864977854791396
PL	2003	0.400001303301852
PL	2002	0.3947523357233991
PL	2001	0.3840865161446483
PL	2000	0.383795000268496
PL	1999	0.36936962719006894
PL	1998	0.37817789724343676
PL	1997	0.370699492579474
PL	1996	0.37529079187851744
PL	1995	0.38229008236066575
PL	1994	0.35553193046758513
PL	1993	0.3283903405221682
PL	1992	0.3169814290059828
PL	1989	0.282999916344298
PL	1988	0.26273095143810143
PL	1987	0.2810729444165704
PL	1986	0.28096770114970215
PL	1985	0.2772336819717023
PL	1984	0.29084537982329706
PL	1983	0.2780376000949981
PS	2011	0.597257594213773
PS	2010	0.6103238522480332
PS	2008	0.592298939535946
PS	2007	0.616056249958718
PS	2006	0.5898409903275559
PS	2005	0.593360603211474
PS	2004	0.5781049054105432
PS	1998	0.5768154873419141
PS	1997	0.572821549922243
PS	1996	0.569844837026
