year	low	high	width	share	cumul	# sptinc992i
1981	0.99950	0.99990	0.00040	0.00700	0.99410
1981	0.99990	1.00000	0.00010	0.00590	1.00000
1980	0.00000	0.90000	0.90000	0.70820	0.70820
1980	0.90000	0.95000	0.05000	0.09450	0.80270
1980	0.95000	0.99000	0.04000	0.12290	0.92560
1980	0.99000	0.99500	0.00500	0.02520	0.95080
1980	0.99500	0.99900	0.00400	0.02930	0.98010
1980	0.99900	0.99950	0.00050	0.00570	0.98580
1980	0.99950	0.99990	0.00040	0.00690	0.99270
1980	0.99990	1.00000	0.00010	0.00730	1.00000
1979	0.00000	0.90000	0.90000	0.71920	0.71920
1979	0.90000	0.95000	0.05000	0.09470	0.81390
1979	0.95000	0.99000	0.04000	0.11460	0.92850
1979	0.99000	0.99500	0.00500	0.02380	0.95230
1979	0.99500	0.99900	0.00400	0.02730	0.97960
1979	0.99900	0.99950	0.00050	0.00570	0.98530
1979	0.99950	0.99990	0.00040	0.00690	0.99220
1979	0.99990	1.00000	0.00010	0.00780	1.00000
1978	0.00000	0.90000	0.90000	0.71180	0.71180
1978	0.90000	0.95000	0.05000	0.10370	0.81550
1978	0.95000	0.99000	0.04000	0.11040	0.92590
1978	0.99000	0.99500	0.00500	0.02370	0.94960
1978	0.99500	0.99900	0.00400	0.02850	0.97810
1978	0.99900	0.99950	0.00050	0.00600	0.98410
1978	0.99950	0.99990	0.00040	0.00750	0.99160
1978	0.99990	1.00000	0.00010	0.00840	1.00000
1977	0.00000	0.90000	0.90000	0.74020	0.74020
1977	0.90000	0.95000	0.05000	0.09400	0.83420
1977	0.95000	0.99000	0.04000	0.09400	0.92820
1977	0.99000	0.99500	0.00500	0.02180	0.95000
1977	0.99500	0.99900	0.00400	0.02680	0.97680
1977	0.99900	0.99950	0.00050	0.00610	0.98290
1977	0.99950	0.99990	0.00040	0.00790	0.99080
1977	0.99990	1.00000	0.00010	0.00920	1.00000
1976	0.00000	0.90000	0.90000	0.74320	0.74320
1976	0.90000	0.95000	0.05000	0.09510	0.83830
1976	0.95000	0.99000	0.04000	0.09100	0.92930
1976	0.99000	0.99500	0.00500	0.02130	0.95060
1976	0.99500	0.99900	0.00400	0.02710	0.97770
1976	0.99900	0.99950	0.00050	0.00580	0.98350
1976	0.99950	0.99990	0.00040	0.00770	0.99120
1976	0.99990	1.00000	0.00010	0.00880	1.00000
